              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB DEZ22 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ABS-17202;DJP-9419;08/12/2022;86787;108,90; R$ 759,04 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;14/12/2022;86985;129,00; R$ 863,01 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;20/12/2022;87191;111,30; R$ 744,60 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;28/12/2022;87357;114,42; R$ 765,47 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17205;GIC-3F68;05/12/2022;30508;150,47; R$ 1.021,69 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;09/12/2022;30728;119,71; R$ 811,47 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;14/12/2022;30927;131,15; R$ 866,26 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;20/12/2022;31191;147,32; R$ 956,11 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;24/12/2022;31382;119,11; R$ 773,02 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;30/12/2022;31647;117,75; R$ 764,20 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;02/12/2022;19438;31,31; R$ 212,59 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;04/12/2022;19734;43,51; R$ 295,43 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;06/12/2022;20083;47,85; R$ 324,90 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;09/12/2022;20292;37,1; R$ 251,91 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;11/12/2022;20593;45,02; R$ 296,68 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;14/12/2022;20820;36,78; R$ 242,38 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;16/12/2022;21053;38,61; R$ 250,28 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;19/12/2022;21324;38,42; R$ 249,35 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;22/12/2022;21579;40,41; R$262,26 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;24/12/2022;21887;50,21; R$325,86 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;26/12/2022;22077;28,19; R$182,95 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;29/12/2022;22310;37,87; R$ 245,78 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;AB-17102;FEJ-7954;02/12/2022;119557;77,23; R$524,35 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;05/12/2022;119694;82,98; R$563,42 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;06/12/2022;119776;44,26; R$300,50 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;13/12/2022;119896;83,57; R$584,18 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;16/12/2022;120024;78,76; R$519,07 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;19/12/2022;120117;72,84; R$480,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;27/12/2022;120427;122,76; R$815,12 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;31/12/2022;120515;67,59; R$448,82 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;12/12/2022;112295;114,79; R$774,89 ;POSTO SHOPPING;DIESEL S-10;;;;
17GB;ABS-17101;BSV-3278;06/12/2022;226468;102,44; R$695,58 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;01/12/2022;151843;76,51; R$519,56 ;REINA O SOL;DIESEL;;;;
17GB;ABS-17102;EEF-7331;10/12/2022;152117;70,16; R$476,38 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;17/12/2022;152347;60,72; R$400,15 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;22/12/2022;152555;65,18; R$432,82 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;26/12/2022;152759;59,10; R$401,34 ;POSTO SHOPPING;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;31/12/2022;153072;87,37; R$580,13 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;04/12/2022;12097;107,74; R$710,01 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;08/12/2022;12306;106,38; R$701,04 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;14/12/2022;12426;64,61; R$425,80 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;17/12/2022;12614;90,21; R$576,44 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;26/12/2022;12940;159,63; R$1.020,04 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;31/12/2022;13150;104,98; R$697,06 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;05/12/2022;607;57,51; R$390,53 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;08/12/2022;769;31,57; R$214,37 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;12/12/2022;893;24,66; R$167,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;18/12/2022;1180;49,03; R$323,16 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;27/12/2022;1391;48,07; R$319,19 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;30/12/2022;1655;50,34; R$334,29 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;20/12/2022;152546;52,80; R$340,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;04/12/2022;280346;80,43; R$530,03 ;POSTO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;14/12/2022;280576;78,44; R$501,23 ;POSTO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;21/12/2022;280786;72,37; R$476,92 ;A. POS. BIRITIBA USSU;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;29/12/2022;280973;62,84; R$401,55 ;POSTO;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;16/12/2022;152145;129,66; R$854,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;EQUIPAMENTO;BOM-0001;08/12/2022;106;8,88; R$44,31 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;EQUIPAMENTO;BOM-0001;17/12/2022;107;5,91; R$28,93 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;EQUIPAMENTO;BOM-0002;14/12/2022;1;5,10; R$24,43 ;POSTO;GASOLINA COMUM;;;;
17GB;CA-17001;BVZ-7844;06/12/2022;249986;54,22; R$379,05 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;CA-17001;BVZ-7844;12/12/2022;250155;41,46; R$257,05 ;AUTO POSTO IPIRANGA ;DIESEL;;;;
17GB;CM-17102;DJM-3302;06/12/2022;39984;250,69; R$1.702,17 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;03/12/2022;151406;34,90; R$237,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;14/12/2022;151773;38,34; R$268,04 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;MOB-17101;FHI-7907;05/12/2022;62643;8,02; R$40,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;07/12/2022;62743;6,42; R$32,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;08/12/2022;62847;6,12; R$30,53 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;09/12/2022;62898;3,70; R$18,44 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;12/12/2022;63062;10,50; R$52,42 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;15/12/2022;63132;5,00; R$24,46 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;19/12/2022;63206;5,56; R$27,21 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;21/12/2022;63295;6,57; R$31,47 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;26/12/2022;63464;9,12; R$43,68 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;27/12/2022;63500;3,16; R$16,76 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;23/12/2022;67213;12,83; R$61,46 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;05/12/2022;56188;7,62; R$38,03 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;07/12/2022;56289;6,41; R$31,97 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
