              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB NOV24 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ABS-17101;GCN-6C35;28/11/2024;66199;156,50; R$1.000,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;18/11/2024;171986;93,97; R$600,49 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;04/11/2024;146724;57,49; R$367,33 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;09/11/2024;146961;107,40; R$686,26 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;12/11/2024;147116;53,06; R$339,08 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;23/11/2024;147387;139,06; R$888,62 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;02/11/2024;42055;189,95; R$1.175,79 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;14/11/2024;42271;104,53; R$647,04 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;21/11/2024;42500;107,94; R$668,15 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;29/11/2024;42706;118,24; R$731,91 ;POSTO;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;01/11/2024;53452;50,25; R$321,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;02/11/2024;53656;33,55; R$214,42 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;05/11/2024;53973;49,81; R$318,33 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;10/11/2024;54114;30,05; R$192,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;15/11/2024;54364;39,25; R$250,81 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;19/11/2024;54568;37,00; R$236,48 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;22/11/2024;54781;31,66; R$202,31 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;25/11/2024;55086;48,85; R$312,17 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;28/11/2024;55439;58,57; R$374,30 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;11/11/2024;168812;40,57; R$259,24 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;28/11/2024;169113;44,43; R$275,02 ;POSTO;DIESEL S-10;;;;
17GB;AT-17101;STA-3H63;09/11/2024;8042;118,14; R$754,90 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AT-17101;STA-3H63;21/11/2024;8283;138,81; R$887,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;EQUIPAMENTO;EQUIP;04/11/2024;140;4,51; R$28,27 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;EQUIPAMENTO;EQUIP;26/11/2024;31;3,46; R$20,03 ;POSTO;GASOLINA COMUM;;;;
17GB;CA-17001;BVZ-7844;22/11/2024;254523;51,77; R$330,82 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;13/11/2024;160759;49,30; R$315,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MOB-17102;FDF-9996;03/11/2024;80006;7,77; R$48,76 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;07/11/2024;80111;6,80; R$42,66 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;11/11/2024;80225;6,15; R$38,58 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;14/11/2024;80284;4,68; R$29,35 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;17/11/2024;80418;7,85; R$49,25 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;22/11/2024;80531;8,00; R$50,18 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;27/11/2024;80650;6,63; R$41,56 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;29/11/2024;80758;6,24; R$39,18 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;03/11/2024;69559;8,59; R$53,89 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;07/11/2024;69667;6,91; R$43,36 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;11/11/2024;69783;5,87; R$36,84 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;14/11/2024;69843;5,00; R$31,36 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;17/11/2024;69978;7,97; R$49,97 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;22/11/2024;70076;7,33; R$46,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;27/11/2024;70194;6,83; R$42,86 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;29/11/2024;70301;6,48; R$40,64 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;TP-17000;SVX-6D77;04/11/2024;15385;27,14; R$105,57 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;05/11/2024;15543;20,25; R$78,78 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;06/11/2024;15800;28,16; R$109,57 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;07/11/2024;15990;20,63; R$80,26 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;08/11/2024;16164;22,81; R$88,73 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;11/11/2024;16415;22,78; R$88,63 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;12/11/2024;16674;29,42; R$114,46 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;13/11/2024;16921;23,25; R$90,45 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;14/11/2024;17083;22,29; R$86,72 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;18/11/2024;17254;19,01; R$77,75 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;18/11/2024;17384;10,81; R$42,07 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;19/11/2024;17640;29,10; R$119,01 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;21/11/2024;17905;28,36; R$116,01 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;25/11/2024;18044;17,89; R$73,17 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;25/11/2024;18172;16,05; R$65,65 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;26/11/2024;18431;27,10; R$110,86 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;27/11/2024;18617;20,21; R$82,66 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;27/11/2024;18745;13,61; R$55,66 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17000;SVX-6D77;28/11/2024;18999;27,38; R$112,02 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;01/11/2024;15473;17,75; R$70,85 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;04/11/2024;15634;19,55; R$79,99 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;05/11/2024;15794;19,86; R$81,21 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;07/11/2024;16035;24,08; R$98,51 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;08/11/2024;16194;19,80; R$80,99 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;11/11/2024;16353;18,80; R$76,92 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;12/11/2024;16527;18,50; R$75,68 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;14/11/2024;16688;18,59; R$76,02 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;15/11/2024;16829;15,04; R$61,53 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;18/11/2024;16985;18,09; R$74,00 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;22/11/2024;17292;8,50; R$34,77 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;25/11/2024;17457;19,71; R$80,65 ;PETROCIN;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;26/11/2024;17618;19,72; R$80,67 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;27/11/2024;17777;19,30; R$78,95 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH-6I87;29/11/2024;17939;19,87; R$81,26 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
