FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
*****,*****,*****,11/01/2022,TP-17001,276235,INSPEÇÃO DE FREIOS; TROCA DO KIT DA CORRÊA DENTADA; TROCA DO KIT DE ROLAMENTOS DE RODA TRASEIRO LE,IKEDA,"R$ 470,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,11/01/2022,CA-17001,247414,TROCA DO CILINDRO AUXILIAR DE EMBREAGEM; TROCA DO CILINDRO MESTRE DE EMBREAGEM; TROCA DO FLUIDO DE FREIO (DOT 4); TROCA DO CABO DO ACELERADOR; TROCA DO FLEXIVEL DA EMBREAGEM; E REGULAGEM DA EMBREAGEM.,BF DIESEL,"R$ 885,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,12/01/2022,AC-17002,133810,REGULAGEM DO FREIO ESTACIONÁRIO,BF DIESEL,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,14/01/2022,AC-17002,133810,REPARO NO ALTERNADOR (TROCA DO REGULADOR DE VOLTAGEM; TROCA DOS ROLAMENTOS),NICOLAU,"R$ 568,50",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,12/01/2022,AS-17101,270009,CONSERTO DA PLACA DO VELOCÍMETRO; REPARO NO CHICOTE DE ALIMENTAÇÃO DO TACÓGRAFO,BAIANO VELOCIMETRO,"R$ 550,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,12/01/2022,AB-17102,67892,INSPEÇÃO E REGULAGEM DE FREIO,RE9 DIESEL,"R$ 150,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,14/01/2022,AB-17102,67892,TROCA DE: Kit de pastilhas de freio dianteiro; Kit de lonas de freio traseiro. OBS.: PRÓXIMA INSPEÇÃO COM 70400 MILHAS),INJETRONIC,"R$ 630,00",NÃO HOUVE O.S. GEFROE,,
*****,*****,*****,14/01/2022,MO-17001,143527,INSPEÇÃO DE FEREIO (PRÓXIMA COM KM 148527),APICE MOGI,R$ -,NÃO HOUVE O.S. GEFROE,,
*****,*****,2486,*****,VO-17003,*****,"1. Fornecer e substituir a placa do painel de instrumentos, conforme a especificação do fabricante;
 2. Revisar o sistema de instrumentação do painel, a fim de restabelecer seu funcionamento.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,*****,18/01/2022,CM-17102,33657,TROCA DA BOMBA D'ÁGUA E ADITIVO PARA O RADIADOR,BF DIESEL,"R$ 1.250,00",NÃO HOUVE O.S. GEFROE,,
