              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB JUN25;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
05GB;MO-05101;DMJ-0132;27/06/2025;113952;32,17; R$208,78 ;EQUIPE QUALITY;DIESEL S-10;VIATURA EMPRESTADA DO 5GB;;;
17GB;ABS-17105;GIC4H16;01/06/2025;69359;71,84; R$472,73 ;Posto Reina o Sol;DIESEL S10;;;;
17GB;ABS-17205;GIC3F68;01/06/2025;64054;125,36; R$788,51 ;Ipiranga;DIESEL S10;;;;
17GB;VO-17103;DIW1J93;01/06/2025;126107;38,38; R$160,81 ;Itamaraty;ALCOOL;;;;
17GB;UR-17105;FKG0E65;01/06/2025;45403;37,19; R$230,18 ;Itammraty;DIESEL S10;;;;
17GB;AC-17001;GHU6J06;02/06/2025;63505;42,88; R$278,28 ;Equipe Quality;DIESEL S10;;;;
17GB;AT-17205;GIU7B96;01/06/2025;14875;93,00; R$611,01 ;Posto Quality;DIESEL S10;;;;
17GB;ABS-17203;SWV0I18;01/06/2025;22735;104,95; R$689,52 ;Quality Baruel;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;02/06/2025;36407;19,60; R$82,12 ;EQUIPE QUALITY;ALCOOL;;;;
17GB;VO-17004;EXM2C24;02/06/2025;69414;28,28; R$118,52 ;EQUIPE QUALITY;ALCOOL;;;;
17GB;ABS-17201;GGR8E95;02/06/2025;39694;109,10; R$718,97 ;IPIRANGA FERRAZ;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;02/06/2025;16136;35,54; R$148,91 ;posto itamarathy;ALCOOL;;;;
17GB;MOB-17107;EEF-7217;03/06/2025;53759;3,83; R$23,75 ;Quality shopping;GASOLINA;;;;
17GB;MOB-17108;EEF-7208;03/06/2025;54962;6,18; R$23,71 ;Posto Quality;GASOLINA;;;;
17GB;UR-17213;FYT2A23;03/06/2025;50615;29,05; R$191,44 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;03/06/2025;16390;36,99; R$154,99 ;Postos Itamarathy;ALCOOL;;;;
17GB;TP-17003;FHN-0083;04/06/2025;182060;25,73; R$107,82 ;Auto Posto Equipe;ALCOOL;;;;
17GB;ABS-17205;GIC3F68;04/06/2025;64252;125,36; R$723,10 ;Ipiranga;DIESEL S10;;;;
17GB;ABS-17205;GIC3F68;04/06/2025;64252;5,91; R$37,17 ;Ipiranga;GASOLINA;;;;
17GB;VO-17000;FFY5I31;04/06/2025;16594;28,30; R$118,57 ;POSTO ITAMARATHY;ALCOOL;;;;
17GB;TP-17001;SWH6I87;04/06/2025;36586;17,49; R$73,26 ;POSTO EQUIPE QUALITY;ALCOOL;;;;
17GB;VO-17000;FFY5I31;04/06/2025;16723;18,33; R$76,76 ;posto itamarathy;ALCOOL;;;;
17GB;UR-17101;FVY9I93;05/06/2025;44675;31,07; R$201,64 ;Itamaraty;DIESEL S10;;;;
17GB;ABS-17105;GIC4H16;04/06/2025;69528;74,77; R$491,05 ;Reina o Sol;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;05/06/2025;36745;18,85; R$78,98 ;Postos Itamarathy;ALCOOL;;;;
17GB;UR-17105;FKG0E65;05/06/2025;45798;41,37; R$268,51 ;POSTO EQUIPE QUALITY;DIESEL S10;;;;
17GB;UT-17003;DJL-7263;05/06/2025;114318;9,03; R$58,66 ;EQUIPE QUALITY;DIESEL S10;;;;
17GB;UR-17214;GGT3F22;05/06/2025;46029;53,50; R$351,50 ;Baruel;DIESEL S10;;;;
17GB;ABS-17203;SWV0I18;05/06/2025;22962;119,88; R$778,02 ;Pósto Qualíy;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;05/06/2025;16974;32,47; R$136,05 ;Postos Itamathy;ALCOOL;;;;
17GB;UR-17213;FYT2A23;05/06/2025;50942;42,45; R$267,01 ;Ipiranga;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;06/06/2025;36822;9,90; R$37,51 ;Auto Posto Prata S. J. Campos (7584);ALCOOL;;;;
17GB;MOB-17206;GCC9F64;06/06/2025;12932;8,53; R$53,65 ;BR;GASOLINA;;;;
17GB;MOB-17207;FSP3D32;06/06/2025;12897;8,33; R$52,40 ;Petrobrás;GASOLINA;;;;
17GB;UR-17102;FYC1A73;06/06/2025;32439;23,00; R$151,55 ;Posto equipe quality;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;06/06/2025;17117;22,75; R$95,32 ;POSTO ITAMATHY;ALCOOL;;;;
17GB;TP-17001;SWH6I87;06/06/2025;37050;23,33; R$97,75 ;POSTO EQUIPE QUALITY;ALCOOL;;;;
17GB;VO-17007;DJL-3120;06/06/2025;144085;45,26; R$290,98 ;AUTO POSTO FERRAZ;GASOLINA;;;;
17GB;CA-17001;BVZ-7844;06/06/2025;255472;66,32; R$430,41 ;Quality;DIESEL S10;;;;
17GB;VO-17103;DIW1J93;06/06/2025;126292;22,37; R$93,73 ;Itamarathy;ALCOOL;;;;
17GB;VO-17102;EFC-7492;07/06/2025;66709;32,49; R$130,29 ;Reina sol;ALCOOL;;;;
17GB;UR-17101;FVY9I93;08/06/2025;44984;33,71; R$218,75 ;Quality;DIESEL S10;;;;
17GB;VO-17103;DIW1J93;09/06/2025;126469;16,25; R$68,09 ;Quality;ALCOOL;;;;
17GB;TP-17001;SWH6I87;09/06/2025;37209;17,56; R$73,58 ;Postos Itamathy;ALCOOL;;;;
17GB;VO-17004;EXM2C24;09/06/2025;69643;21,81; R$91,38 ;EQUIPE QUALITY;ALCOOL;;;;
17GB;UR-17208;BZF-1518;09/06/2025;117.040;28,12; R$247,40 ;Qualy Baruel;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;09/06/2025;17372;37,39; R$156,66 ;Postos Itamarathy;ALCOOL;;;;
17GB;ABS-17101;GCN6C35;10/06/2025;71412;101,46; R$658,53 ;Posto Quality shopping;DIESEL S10;;;;
17GB;MOB-17107;EEF-7217;10/06/2025;53900;5,29; R$33,80 ;EQUIPE QUALITY;GASOLINA;;;;
17GB;MOB-17108;EEF-7207;10/06/2025;55104;5,15; R$32,91 ;EQUIPE QUALITY;GASOLINA;;;;
17GB;TP-17001;SWH6I87;10/06/2025;37389;17,82; R$74,68 ;posto equipe quality;ALCOOL;;;;
17GB;VO-17000;FFY5I31;10/06/2025;17641;44,66; R$187,13 ;posto itamarathy;ALCOOL;;;;
17GB;UR-17214;GGT3F22;08/06/2025;46223;33,58; R$220,62 ;Quality;Diesel S10;;;;
17GB;ABS-17205;GIC3F68;10/06/2025;64528;153,03; R$993,16 ;Br;DIESEL S10;;;;
17GB;ABS-17105;GIC4H16;11/06/2025;69681;64,67; R$425,54 ;REINA O SOL;DIESEL S10;;;;
17GB;AT-17101;STA3H63;11/06/2025;10162;149,52; R$970,35 ;Equipe quality ltda;DIESEL S10;;;;
17GB;TP-17003;FHN-0083;11/06/2025;182251;32,39; R$145,44 ;EQUIPE;ALCOOL;;;;
17GB;UR-17213;FYT2A23;11/06/2025;51265;50,72; R$334,24 ;Ipiranga;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;11/06/2025;37529;18,23; R$76,38 ;Postos Itamarathy;ALCOOL;;;;
17GB;UR-17105;FKG0E65;11/06/2025;46042;34,15; R$221,64 ;Equipe quality LTDA;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;11/06/2025;17896;42,14; R$176,62 ;Postos Itamarathy;ALCOOL;;;;
17GB;AC-17002;GIL8E75;11/06/2025;174420;62,23; R$410,12 ;Posto Qualit shopping;DIESEL S10;;;;
17GB;AC-17001;GHU6J06;12/06/2025;64103;32,00; R$210,92 ;Posto Qualit shopping;DIESEL S10;;;;
17GB;UR-17102;FYC1A73;09/06/2025;32728;36,25; R$235,23 ;Posto equipe quality;DIESEL;;;;
17GB;MT-17001;FVJ-2863;10/06/2025;23306;8,67; R$54,59 ;Master Mogi;GASOLINA;;;;
17GB;TP-17200;TKK3G59;12/06/2025;1423;17,55; R$108,16 ;Posto qualyt Baruel;GASOLINA;;;;
17GB;UR-17214;GGT3F22;12/06/2025;46471;38,91; R$255,64 ;Quality;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;12/06/2025;37693;20,13; R$84,35 ;POSTO EQUIPE QUALITY;ALCOOL;;;;
17GB;VO-17000;FFY5I31;12/06/2025;18149;37,50; R$157,12 ;posto itamarathy;ALCOOL;;;;
17GB;VO-17003;TKX5J89;13/06/2025;2451;44,50; R$266,55 ;Itamarathy II;DIESEL S10;;;;
17GB;ABS-17203;SWV0I18;13/06/2025;23 235;135,56; R$890,62 ;Posto QUALITY BARUEL;DIESEL S10;;;;
17GB;ABS-17201;GGR8E95;13/06/2025;39958;179,27; R$1.181,39 ;Ipiranga centro ferraz de Vasconcelos;DIESEL S10;;;;
17GB;UR-17213;FYT2A23;13/06/2025;51437;27,81; R$183,27 ;Posto Ferraz Ipiranga;DIESEL S10;;;;
17GB;VO-17004;EXM2C24;13/06/2025;69928;33,41; R$140,01 ;Equipe quality;ALCOOL;;;;
17GB;UR-17212;GJH1F17;11/06/2025;73394;43,71; R$274,94 ;Ipiranga;DIESEL S10;;;;
17GB;AC-17001;GHU6J06;14/06/2025;64350;48,28; R$317,90 ;Posto Qualit shopping;DIESEL S10;;;;
17GB;UR-17101;FVY9I93;14/06/2025;45227;37,83; R$245,52 ;Equipe quality;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;16/06/2025;37852;19,22; R$80,53 ;posto equipe quality;ALCOOL;;;;
17GB;MOB-17108;EEF-7208;16/06/2025;55241;4,90; R$30,39 ;Posto Quality;GASOLINA;;;;
17GB;MOB-17107;EEF-7217;16/06/2025;54038;4,70; R$29,43 ;Posto Quality;GASOLINA;;;;
17GB;VO-17000;FFY5I31;16/06/2025;18280;18,20; R$76,26 ;posto itamarathy;ALCOOL;;;;
17GB;ABS-17203;SWV0I18;16/06/2025;23444;127,17; R$772,16 ;Posto Baruel;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;17/06/2025;38010;18,55; R$77,72 ;Postos Itamarathy;ALCOOL;;;;
17GB;UR-17213;FYT2A23;17/06/2025;51691;41,81; R$275,53 ;auto posto ferraz centro;DIESEL S10;;;;
17GB;UR-17102;FYC1A73;17/06/2025;33240;41,22; R$267,55 ;EQUIPE QULITY -AV MANOEL LIMA FILHO;DIESEL S10;;;;
17GB;VO-17204;GJP2D64;17/06/2025;27134;21,09; R$129,92 ;Posto Quality;GASOLINA;;;;
17GB;VO-17000;FFY5I31;17/06/2025;18546;45,04; R$187,77 ;Postos Itamarathy;ALCOOL;;;;
17GB;TP-17001;SWH6I87;18/06/2025;38170;20,14; R$84,39 ;posto equipe quality;ALCOOL;;;;
